company,role,skills,cgpa_minimum
Adani Enterprises,Game Developer,"Shader Programming, Vulkan, Maya, Unreal Engine, C#, Network Programming, C++, Unity, Blender",9.0
Quasar Data,Network Engineer,"Firewalls, Load Balancers, Juniper, Ansible, VPN, Python, TCP/IP, Network Security",6.7
Razorpay,Mobile App Developer,"Android SDK, Android Studio, Java, RxSwift, Flutter",8.8
Tata Digital,Backend Developer,"Django, CI/CD, C#, MongoDB, RabbitMQ, Message Queues, Node.js, PHP",8.8
Horizon Digital,Game Developer,"Maya, Unity, Vulkan, OpenGL, Shader Programming",6.9
Ironclad Security,Business Analyst,"Stakeholder Management, User Stories, MS Visio, JIRA, Business Case Development",6.2
Umbra Technologies,Software Engineer,"Git, Agile, Linux/Unix, Python, Integration Testing, C#",6.2
EchoSphere,UI/UX Designer,"User Journey Mapping, InVision, User Research, Adobe XD, Figma, Usability Testing, Agile",7.7
NextGen AI Labs,DevOps Engineer,"Python Scripting, Security, Chef, CI/CD, Ansible, Bash Scripting, Grafana, Jenkins",6.6
Swiggy,Game Developer,"OpenGL, Shader Programming, Network Programming, Game Physics, C#, Blender, C++, AI for Games",7.8
Titan Industries,Machine Learning Engineer,"C++, Keras, Caffe, Data Structures, PyTorch, Azure ML, Computer Vision, Python, NumPy",6.7
Lumina Analytics,Full-Stack Developer,"TypeScript, React, Go, Express.js, AWS, Vue.js, JavaScript, Java",6.4
CodeCrafters Inc.,Data Scientist,"PyTorch, SQL, Pandas, Machine Learning, NLP, Spark, Tableau, Probability, Hadoop, Data Warehousing",7.1
Orion Enterprises,Game Developer,"3D Graphics, Vulkan, Network Programming, Game Physics, C#, Unreal Engine",7.8
Policybazaar,Machine Learning Engineer,"C++, Caffe, Computer Vision, MLOps, TensorFlow, PyTorch, Kubeflow",6.0
RedShift Technologies,Network Engineer,"VPN, TCP/IP, Firewalls, Python, Network Security, Switching, Juniper, DNS, Routing (BGP, OSPF), Ansible",8.2
Umbra Technologies,UI/UX Designer,"Zeplin, Prototyping, User Research, Figma, Sketch",6.0
CRED,Embedded Systems Engineer,"Circuit Design, RTOS, SPI, Assembly Language, UART, I2C, C",7.0
Foxglove AI,Network Engineer,"Network Monitoring (SNMP), Routing (BGP, OSPF), Python, Ansible, Network Security, TCP/IP",7.2
DataGenius AI,Game Developer,"Vulkan, Game Physics, 3D Graphics, Blender, Maya, Unreal Engine, Unity, C#, DirectX, C++",8.3
PhonePe,DevOps Engineer,"Python Scripting, Jenkins, Chef, Azure, Kubernetes, Networking",7.9
Momentum Dynamics,QA Engineer,"JMeter, LoadRunner, SQL, Appium, JIRA, Bug Tracking, Performance Testing, Manual Testing",8.3
Tech Mahindra,DevOps Engineer,"Puppet, Terraform, Networking, GitLab CI, Chef, Docker",8.2
Umbra Technologies,Business Analyst,"Confluence, SWOT Analysis, JIRA, SQL, Stakeholder Management, Requirements Gathering, UML, User Stories",8.1
X-Factor Solutions,Network Engineer,"TCP/IP, Network Monitoring (SNMP), Firewalls, Python, DNS, Juniper, Network Security, Load Balancers, Switching, Ansible",8.3
Yellowstone Analytics,UI/UX Designer,"Wireframing, InVision, User Research, HTML/CSS fundamentals, A/B Testing",8.7
Zephyr Innovations,Cybersecurity Analyst,"Splunk, Penetration Testing, Cryptography, Security Compliance (ISO 27001, NIST), Incident Response",7.9
Wipro,Systems Administrator,"Virtualization (VMware, Hyper-V), PowerShell, Active Directory, Bash Scripting, System Monitoring, Ansible",7.2
Flipkart,Cloud Engineer,"CloudFormation, Cost Optimization, Identity and Access Management (IAM), AWS Lambda, Terraform",7.2
QuantumMetric,Full-Stack Developer,"Express.js, CI/CD, Vue.js, AWS, JavaScript, Java, Flask, System Design",7.7
Keystone Logic,Mobile App Developer,"Swift, Objective-C, Xamarin, UI/UX Principles, Dart, Android Studio, Flutter, Realm, Core Data, iOS SDK",6.3
Orion Enterprises,Cloud Engineer,"Docker, Networking (VPC, Subnets), Python, Azure, Cost Optimization, GCP, CloudFormation, Cloud Security, Identity and Access Management (IAM)",8.1
Tata Consultancy Services (TCS),Database Administrator (DBA),"PostgreSQL, Oracle DB, Backup and Recovery, Microsoft SQL Server, Data Security, Performance Tuning, Replication, Cassandra, MongoDB, Shell Scripting",9.0
Zephyr Innovations,UI/UX Designer,"User Journey Mapping, InVision, Adobe XD, Wireframing, Prototyping, Zeplin, Agile, A/B Testing",8.2
Wavefront Labs,Data Scientist,"Deep Learning, Probability, Data Warehousing, SQL, ETL, A/B Testing, Pandas, Machine Learning",7.4
Uber India,Systems Administrator,"System Monitoring, Virtualization (VMware, Hyper-V), Security Patching, Windows Server, Active Directory, Linux (Red Hat, Ubuntu), Backup Solutions, Ansible, Networking (TCP/IP, DNS, DHCP)",6.2
Byju's,Mobile App Developer,"Firebase, Dart, RxSwift, Xcode, Android Studio, Android SDK",8.0
Lionheart Labs,QA Engineer,"Appium, Test Cases, Playwright, LoadRunner, Bug Tracking, Selenium, JIRA, Performance Testing, API Testing, Test Planning",6.6
CyberGuard Security,Business Analyst,"SWOT Analysis, Stakeholder Management, MS Visio, ExTableau, Requirements Gathering",7.3
BharatPe,DevOps Engineer,"Chef, Docker, AWS, Networking, Security, Python Scripting, Azure, Google Cloud Platform (GCP)",8.4
Infosys,Network Engineer,"Ansible, Firewalls, Network Security, Python, DNS, Load Balancers",8.9
Northstar AI,Data Analyst,"JIRA, Tableau, ETL, Python, Pandas, Looker, A/B Testing",6.2
Wipro,Software Engineer,"Microservices, C#, Python, Agile, Algorithms, Linux/Unix, System Design",6.4
Udaan,QA Engineer,"Appium, Automation Testing, Manual Testing, Test Planning, SQL, JIRA, Bug Tracking, Selenium, Performance Testing",7.8
Obsidian Dynamics,Product Manager,"Stakeholder Communication, Market Research, JIRA, Agile, Confluence, Go-to-Market Strategy, Scrum, Competitive Analysis",8.4
Hexaware Technologies,Product Manager,"JIRA, Kanban, Competitive Analysis, Data Analysis, SQL, Agile, Roadmap Planning, Go-to-Market Strategy",6.2
Paytm,Database Administrator (DBA),"Replication, Microsoft SQL Server, Backup and Recovery, PostgreSQL, Performance Tuning, Python, MySQL, MongoDB, Cassandra, Data Security",6.4
Policybazaar,Backend Developer,"GraphQL, Flask, Docker, NoSQL, PHP, Message Queues",6.8
Nykaa,DevOps Engineer,"Python Scripting, Jenkins, Terraform, Grafana, Bash Scripting, Prometheus, Networking, CI/CD, Puppet, Security",8.7
Vedantu,Game Developer,"DirectX, Unreal Engine, Network Programming, AI for Games, Vulkan, C#, 3D Graphics, Unity",8.3
Xenon Dynamics,DevOps Engineer,"Ansible, Prometheus, Docker, Puppet, Python Scripting, Terraform, Jenkins, Security, Google Cloud Platform (GCP), Grafana",6.0
DataGenius AI,QA Engineer,"JIRA, API Testing, Performance Testing, JMeter, Test Cases, Postman, Cypress, Regression Testing, Automation Testing",6.0
Upstox,Data Analyst,"Reporting, Data Cleaning, R, Data Warehousing, Adobe Analytics, Statistics, Looker, Dashboards, Google Analytics",7.6
X-Factor Solutions,Mobile App Developer,"Firebase, Kotlin, RxSwift, iOS SDK, Android SDK, Dart, Xamarin",9.0
Diamondback Systems,Database Administrator (DBA),"NoSQL, Microsoft SQL Server, Performance Tuning, Shell Scripting, Cassandra, Database Design, MongoDB, Oracle DB, Data Security, Replication",7.9
HCL Technologies,Backend Developer,"Spring Boot, Node.js, RabbitMQ, Java, .NET, Message Queues, Docker, Kubernetes, NoSQL",7.0
Xenon Dynamics,Product Manager,"Data Analysis, A/B Testing, Scrum, Confluence, Roadmap Planning, Market Research, SQL, Agile, JIRA, User Stories",7.3
Stellar Solutions,UI/UX Designer,"Prototyping, Sketch, Figma, UI/UX Design Principles, Adobe XD, InVision, Wireframing",8.1
Lionheart Labs,Full-Stack Developer,"Vue.js, Node.js, JavaScript, React, REST APIs",6.2
Freshworks,Business Analyst,"SQL, MS Visio, Business Case Development, JIRA, Process Mapping, User Stories",8.5
Nykaa,Frontend Developer,"TypeScript, NPM, Gatsby, Angular, Vuex, Responsive Design, SASS, JavaScript, REST APIs, Vue.js",6.7
Flipkart,Backend Developer,"SQL, MySQL, MongoDB, Python, REST APIs, PostgreSQL, Redis, Docker, Message Queues, Laravel",6.9
Horizon Digital,QA Engineer,"Test Cases, JMeter, Regression Testing, Test Planning, Cypress, API Testing",8.3
Zephyr Innovations,Full-Stack Developer,"Git, JavaScript, Express.js, Django, Azure, PostgreSQL",7.4
Zomato,Software Engineer,"C++, Unit Testing, Kubernetes, Agile, Microservices, Algorithms, Rust",6.6
Obsidian Dynamics,Product Manager,"User Stories, Market Research, Data Analysis, SQL, Kanban, Stakeholder Communication, Go-to-Market Strategy, Confluence",7.2
HCL Technologies,UI/UX Designer,"User Research, A/B Testing, Sketch, Adobe XD, Usability Testing, User Journey Mapping, Agile, HTML/CSS fundamentals",7.6
Unacademy,Data Scientist,"Scikit-learn, R, ETL, Spark, Data Visualization, Big Data, Airflow",7.2
Kinetic Flow,Software Engineer,"Kubernetes, Object-Oriented Programming (OOP), Scrum, C#, Algorithms",6.9
Larsen & Toubro Infotech (LTI),Backend Developer,"Microservices, Python, Docker, C#, RabbitMQ, Kubernetes, Redis, REST APIs, Laravel, GraphQL",7.1
HCL Technologies,Full-Stack Developer,"TypeScript, GraphQL, Angular, CI/CD, System Design, Django",8.7
Freshworks,Cloud Engineer,"Networking (VPC, Subnets), Terraform, Serverless, Go, CloudFormation",8.0
BharatPe,Mobile App Developer,"UI/UX Principles, Core Data, Xamarin, REST APIs, Objective-C, Dart, Flutter, iOS SDK, RxSwift, Kotlin",8.6
Swiggy,Mobile App Developer,"Swift, React Native, Java, Android SDK, RxSwift, iOS SDK, Flutter",8.8
Quasar Data,Frontend Developer,"Responsive Design, Babel, Angular, SASS, Web Performance, NPM, Webpack, REST APIs, Vue.js",6.4
BinaryBridge Technologies,Cybersecurity Analyst,"Metasploit, Security Compliance (ISO 27001, NIST), Splunk, Scripting, Penetration Testing",7.5
Aperture Science,UI/UX Designer,"Figma, Agile, UI/UX Design Principles, User Research, Usability Testing, Design Systems, HTML/CSS fundamentals",6.3
Ola Cabs,Frontend Developer,"HTML5, Cypress, REST APIs, Vuex, Web Performance, JavaScript",8.4
Persistent Systems,Game Developer,"C#, AI for Games, OpenGL, Blender, Maya",6.7
Mindtree,Full-Stack Developer,"Vue.js, PostgreSQL, GraphQL, CI/CD, Azure, Go, Django, System Design, NoSQL",7.9
DataGenius AI,Full-Stack Developer,"PostgreSQL, Node.js, Django, GraphQL, JavaScript, Azure, TypeScript, Java, CI/CD",6.6
Reliance Jio,Mobile App Developer,"RxSwift, Android SDK, Android Studio, UI/UX Principles, Swift, Core Data, Java",6.7
Pinnacle Innovations,Cybersecurity Analyst,"Splunk, Metasploit, Python, Nmap, Incident Response, Network Security",7.2
Momentum Dynamics,Data Analyst,"JIRA, Power BI, SQL, Tableau, Adobe Analytics, SAS, ETL",7.2
Udaan,Full-Stack Developer,"React, TypeScript, Python, Java, System Design, AWS, MongoDB, NoSQL, Azure, Docker",6.9
BinaryBridge Technologies,Cybersecurity Analyst,"Python, Wireshark, Incident Response, Firewalls, Security Compliance (ISO 27001, NIST), Splunk, SIEM, Intrusion Detection Systems (IDS)",7.8
Riptide Software,Systems Administrator,"Networking (TCP/IP, DNS, DHCP), Virtualization (VMware, Hyper-V), PowerShell, System Monitoring, Security Patching, Bash Scripting, Windows Server",6.8
Ola Cabs,UI/UX Designer,"Wireframing, Design Systems, Agile, Figma, HTML/CSS fundamentals, User Journey Mapping, A/B Testing",7.2
Infinite Loop Development,Business Analyst,"Process Mapping, Confluence, MS Visio, SWOT Analysis, Financial Modeling, UML, JIRA, Scrum",7.8
Zomato,Data Scientist,"Python, Data Warehousing, TensorFlow, SQL, Deep Learning, Statistics, ETL, Scikit-learn, Probability, Pandas",6.3
CyberGuard Security,Full-Stack Developer,"NoSQL, Flask, Git, System Design, Azure, REST APIs, MongoDB, Docker",6.7
Zenith Labs,Backend Developer,"MongoDB, Spring Boot, Express.js, Ruby, Ruby on Rails",7.8
SilverLining Cloud,Systems Administrator,"Bash Scripting, Active Directory, Backup Solutions, Linux (Red Hat, Ubuntu), System Monitoring, Security Patching, Networking (TCP/IP, DNS, DHCP)",8.1
Vedantu,Machine Learning Engineer,"Data Structures, NLP, Scikit-learn, Pandas, Algorithms, Keras, Kubernetes, Java",6.7
Diamondback Systems,Game Developer,"Network Programming, OpenGL, Unreal Engine, C#, Vulkan, Blender, Maya",7.2
Zomato,Business Analyst,"UML, SQL, User Stories, Confluence, Business Case Development, Process Mapping, Agile",6.6
Zerodha,Network Engineer,"VPN, Network Security, Ansible, Network Monitoring (SNMP), TCP/IP, Load Balancers, DNS",7.6
Aperture Science,QA Engineer,"Test Cases, Appium, Manual Testing, Playwright, JIRA, API Testing",7.5
Delhivery,Cloud Engineer,"Kubernetes, Serverless, Cost Optimization, Identity and Access Management (IAM), AWS Lambda, Azure, Python, CloudFormation, Go",8.3
CRED,Embedded Systems Engineer,"C++, Assembly Language, SPI, UART, RTOS",6.1
CRED,Network Engineer,"Load Balancers, Network Security, Switching, Network Monitoring (SNMP), Juniper, TCP/IP, Cisco",8.8
TerraForm Inc.,UI/UX Designer,"UI/UX Design Principles, Wireframing, Sketch, InVision, User Journey Mapping, HTML/CSS fundamentals, Usability Testing, Adobe XD, Zeplin, Prototyping",8.1
Unity Systems,Frontend Developer,"Gatsby, Babel, React, LESS, NPM, GraphQL, Next.js, Cypress",8.8
InMobi,Product Manager,"Agile, Stakeholder Communication, Product Lifecycle Management, Confluence, Scrum, Go-to-Market Strategy, SQL, A/B Testing, Kanban, JIRA",7.0
Swiggy,Backend Developer,"Flask, CI/CD, Ruby, NoSQL, Python",8.1
Umbra Technologies,Business Analyst,"Confluence, MS Visio, Agile, ExTableau, SQL, User Stories, Requirements Gathering, Process Mapping",6.2
SilverLining Cloud,Business Analyst,"Requirements Gathering, Business Case Development, SWOT Analysis, Agile, JIRA",6.7
BlueSun Corporation,Software Engineer,"Docker, Git, Rust, Agile, Go, C++, Scala, Data Structures, Unit Testing",7.1
Adani Enterprises,DevOps Engineer,"Prometheus, AWS, Bash Scripting, Google Cloud Platform (GCP), Puppet",8.4
Nykaa,Backend Developer,"REST APIs, SQL, PHP, Redis, MongoDB, Message Queues, Laravel, Docker",7.3
HCL Technologies,Cybersecurity Analyst,"Python, Nmap, Network Security, Splunk, SIEM",7.9
Jade Mountain,DevOps Engineer,"AWS, CI/CD, Jenkins, GitLab CI, Bash Scripting, Puppet, Networking",6.9
Hexaware Technologies,Embedded Systems Engineer,"Assembly Language, Microcontrollers (ARM, AVR), I2C, Circuit Design, Device Drivers, C",8.7
Flipkart,Frontend Developer,"Gatsby, Webpack, GraphQL, Jest, Vue.js, TypeScript, Responsive Design, Yarn, CSS3",8.3
Nykaa,Database Administrator (DBA),"PostgreSQL, Oracle DB, SQL, Shell Scripting, MongoDB, Python",6.1
Yellowbrick Data,Product Manager,"A/B Testing, Competitive Analysis, Roadmap Planning, Data Analysis, User Stories, Kanban, Agile, JIRA, Market Research, Go-to-Market Strategy",8.3
PhonePe,Product Manager,"Product Lifecycle Management, Roadmap Planning, Market Research, Scrum, SQL, A/B Testing, Stakeholder Communication, Confluence, Competitive Analysis, Go-to-Market Strategy",6.1
Udaan,Machine Learning Engineer,"Pandas, Kubeflow, Docker, NumPy, Data Structures",7.1
Tech Mahindra,Machine Learning Engineer,"Java, Keras, Algorithms, Python, Kubernetes, TensorFlow, Azure ML, Data Structures, C++, Caffe",7.6
Infosys,Full-Stack Developer,"AWS, Express.js, Git, Node.js, React, Python, GraphQL, Flask",7.3
SilverLining Cloud,Network Engineer,"Switching, Python, Network Security, Network Monitoring (SNMP), Cisco, Routing (BGP, OSPF), DNS, VPN, TCP/IP, Firewalls",7.0
CyberGuard Security,Systems Administrator,"Virtualization (VMware, Hyper-V), Ansible, PowerShell, Networking (TCP/IP, DNS, DHCP), Bash Scripting",7.6
Wipro,QA Engineer,"SQL, Performance Testing, Postman, Playwright, Cypress, Regression Testing, Manual Testing, Selenium",7.2
PulsePoint,DevOps Engineer,"AWS, Security, Chef, Grafana, Puppet",7.6
GhostWorks,Data Analyst,"Tableau, Pandas, Adobe Analytics, Python, VBA, Power BI, Qlik Sense, SAS, Reporting, SQL",8.0
Foxglove AI,DevOps Engineer,"Docker, Bash Scripting, Python Scripting, CI/CD, Jenkins, Kubernetes, Security",7.3
BlueSun Corporation,Systems Administrator,"Linux (Red Hat, Ubuntu), Ansible, Backup Solutions, PowerShell, Security Patching, Windows Server, System Monitoring, Bash Scripting",7.9
Hexaware Technologies,Systems Administrator,"System Monitoring, Backup Solutions, Bash Scripting, Active Directory, PowerShell, Ansible, Linux (Red Hat, Ubuntu)",8.6
Uber India,Data Scientist,"Data Visualization, Machine Learning, Data Warehousing, Spark, Hadoop, Statistics, Deep Learning, PyTorch, NumPy, Hive",8.8
Diamondback Systems,Frontend Developer,"ES6+, Gatsby, GraphQL, HTML5, CSS3, SASS, TypeScript, LESS, Redux",7.7
